,lines .s,bytes .o,lines .s,bytes .o,lines .s,bytes .o,lines .s,bytes .o
clock.orig.s,354,5343,354,5343,354,5343,354,5343
clock.pp.s,352,5285,352,5261,351,5226,352,5261
double.orig.s,51,694,51,694,51,694,51,694
double.pp.s,51,694,51,694,51,694,51,694
fcyc.orig.s,507,8053,507,8053,507,8053,507,8053
fcyc.pp.s,496,7732,495,7653,494,7627,495,7653
Fibonacci.orig.s,448,7619,448,7619,448,7619,448,7619
Fibonacci.pp.s,442,7469,441,7388,440,7320,442,7442
play.orig.s,254,3530,254,3530,254,3530,254,3530
play.pp.s,254,3530,254,3530,254,3506,254,3530
replicated.orig.s,75,1069,75,1069,75,1069,75,1069
replicated.pp.s,75,1069,70,947,70,947,70,947
rosetta.orig.s,867,13565,867,13565,867,13565,867,13565
rosetta.pp.s,850,13119,849,12979,848,12960,849,12979
,,,,,,,,
Max reduction,17,446,18,586,19,605,18,586
Total reduction,36,975,44,1421,48,1593,43,1367
Mean reduction,5.1428571429,139.2857142857,6.2857142857,203,6.8571428571,227.5714285714,6.1428571429,195.2857142857
Mean \% reduction,1.4084507042,2.4452637123,1.7214397496,3.563815113,1.8779342723,3.9951847115,1.6823161189,3.4283851228
,,,,,,,,
Value Function,line estimate,,$d^{1} c^{1}$,,$d^{2} c^{1}$,,$d^{1} c^{2}$,
